timestep,day,hour_of_day,is_night,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_min_measured,v_max,v_mean,line_loading_max,p_loss_mw,converged,v_margin,severity,blackout,risk_score,p_load_lag_1,p_solar_lag_1,p_load_lag_2,p_solar_lag_2,p_load_lag_3,p_solar_lag_3
3,0,3,1,1.6264305476685268,0.0,0.018992769039760875,1.607437778628766,0.17498641938915507,0.9650143461147214,0.9720112608897354,1.0,0.9787685838147466,22.101011658793162,0.0347583409808728,1,0.035014,NORMAL,0,0.07442139085242469,1.6118833090527809,0.0,1.620765206051201,0.0,1.686109093201587,0.0
4,0,4,1,1.5870262522941554,0.0,0.006248665185724065,1.5807775871084313,0.16216401222354648,0.9649927497086145,0.9714429198179778,1.0,0.979041334608227,21.68135076452495,0.03368548556738005,1,0.034993,NORMAL,0,0.07680468436362453,1.6264305476685268,0.0,1.6118833090527809,0.0,1.620765206051201,0.0
5,0,5,1,1.592392367465301,0.0,0.0051801593416249255,1.5872122081236761,0.1515341904201939,0.9647911007390133,0.9565082880711198,1.0,0.9789455466672394,21.767673620032525,0.03397823906355106,1,0.034791,NORMAL,0,0.169313944024811,1.5870262522941554,0.0,1.6264305476685268,0.0,1.6118833090527809,0.0
6,0,6,0,1.6731650777914528,0.136443116542952,0.004294366219154609,1.5324275950293462,0.14272202979296839,0.9660838575935403,0.9721817645177323,1.0,0.9806452784836032,21.518730773573722,0.03148174324858667,1,0.036084,NORMAL,0,0.07371976515907863,1.592392367465301,0.0,1.5870262522941554,0.0,1.6264305476685268,0.0
7,0,7,0,1.722371561197979,0.4654763195263731,0.003560041952413302,1.2533351997191926,0.13541671683884796,0.9695348398031637,0.9822670818014353,1.0,0.9864684686203556,19.172464702766945,0.029573921973521884,1,0.039535,NORMAL,0,0.04164548098758275,1.6731650777914528,0.136443116542952,1.592392367465301,0.0,1.5870262522941554,0.0
8,0,8,0,1.756207370586111,0.9939965713679252,0.0029512854670464637,0.7592595137511393,0.12936058604241665,0.9755002115185181,0.9857947097230034,1.0274855968735401,0.9956477874523441,15.879097199400036,0.05371268668293787,1,0.0455,NORMAL,0,0.033971132961729135,1.722371561197979,0.4654763195263731,1.6731650777914528,0.136443116542952,1.592392367465301,0.0
9,0,9,0,1.806699214100564,1.3443515706450235,0.0024466248186146857,0.4599010186369258,0.12434003176174115,0.9785099561872574,0.9746075488879667,1.0473934401106935,1.0009049264844903,14.947188102736863,0.08718396151152287,1,0.04851,NORMAL,0,0.06437719622740949,1.756207370586111,0.9939965713679252,1.722371561197979,0.4654763195263731,1.6731650777914528,0.136443116542952
10,0,10,0,1.798860599454576,1.562877764344306,0.002028259783682107,0.2339545753265881,0.12017797414897256,0.9811058496100544,0.9810247716602972,1.0600828415080266,1.004522528536495,16.363022669090014,0.11374622407964353,1,0.051106,NORMAL,0,0.04472415953334362,1.806699214100564,1.3443515706450235,1.756207370586111,0.9939965713679252,1.722371561197979,0.4654763195263731
11,0,11,0,1.7706154954223898,1.812247574505191,0.0,-0.04163207908280109,0.12017797414897256,0.9843487461690394,0.9902897221687131,1.0743924687595223,1.0087225301138236,18.776830238237274,0.14937678323806158,1,0.054349,NORMAL,0,0.02615063072929472,1.798860599454576,1.562877764344306,1.806699214100564,1.3443515706450235,1.756207370586111,0.9939965713679252
12,0,12,0,1.8038018839254444,2.0679632714708243,-0.1153635158770609,-0.14879787166831898,0.3450714089265356,0.9850988905463535,0.9891161696545699,1.0813362981513355,1.0104212956356438,20.127539881173725,0.17210879691036268,1,0.055099,NORMAL,0,0.028004929647544287,1.7706154954223898,1.812247574505191,1.798860599454576,1.562877764344306,1.806699214100564,1.3443515706450235
